RMSE;predicted;real
98.05594516675052;6.438446495711511;100.0
98.05594516675052;7.111930152824402;100.0
98.05594516675052;6.88626462462399;100.0
98.05594516675052;2.022366673798514;4.2402826860000005
98.05594516675052;2.6927354001253483;9.75177305
98.05594516675052;3.663078881579255;37.58389262
98.05594516675052;3.5129901838423923;17.70428016
98.05594516675052;7.252100133956466;100.0
98.05594516675052;6.54290036573264;97.88359788
98.05594516675052;1.9805494052604264;1.315789474
98.05594516675052;6.397191723171337;99.64664311
98.05594516675052;6.345744446184215;100.0
98.05594516675052;6.789262962434194;100.0
98.05594516675052;3.7261253325370842;27.96709753
98.05594516675052;2.0147613076115656;1.4869888480000002
98.05594516675052;6.475075832979011;100.0
98.05594516675052;7.309155256593419;100.0
98.05594516675052;5.5259877886413875;57.33695652
98.05594516675052;4.464399172003537;33.5078534
98.05594516675052;6.491872089112106;97.08333333
98.05594516675052;3.496237663651206;28.0952381
98.05594516675052;1.981761198613347;3.205128205
98.05594516675052;1.9869494191958066;6.310679612
98.05594516675052;1.9679844174604268;4.60251046
98.05594516675052;2.072047737520837;5.291005291
98.05594516675052;2.2604020701079257;12.34177215
98.05594516675052;7.143851911272911;94.57831325
98.05594516675052;4.2164674734569205;41.56626506
98.05594516675052;6.922720306183468;99.6099844
98.05594516675052;6.954304184806439;93.71727749
98.05594516675052;2.6015848445775256;17.31843575
98.05594516675052;4.943268200762198;100.0
98.05594516675052;7.536366818577652;100.0
98.05594516675052;2.8432173881224436;37.80068729
98.05594516675052;2.4096951461274467;17.31669267
98.05594516675052;1.9163482212784206;21.95121951
98.05594516675052;6.421039646371905;98.46416382
98.05594516675052;1.9942981052158095;1.167315175
98.05594516675052;2.5441867605411135;14.78599222
98.05594516675052;6.587943513615093;86.06557377
98.05594516675052;6.878532623818444;95.01779359
98.05594516675052;7.010338995751392;100.0
98.05594516675052;4.884770015018813;33.33333333
98.05594516675052;2.018294712944414;5.053598775
98.05594516675052;2.0434147706777614;7.936507937000001
98.05594516675052;1.9884449199355438;6.008583691
98.05594516675052;6.809156484050717;91.66666667
98.05594516675052;6.5757345699183025;100.0
98.05594516675052;3.7412860766728184;21.55477032
98.05594516675052;2.6498883499131463;7.112068966
98.05594516675052;6.196843829611326;99.58158996
98.05594516675052;6.675510516060541;91.82879377
