RMSE;predicted;real
12.79198823416976;4.973468744470237;1.4869888480000002
12.79198823416976;33.285932871880256;23.60515021
12.79198823416976;98.12308512347154;100.0
12.79198823416976;67.82150621022606;94.93534483
12.79198823416976;94.73005551579186;96.0
12.79198823416976;50.42490959084915;54.60750853
12.79198823416976;26.169788992504774;9.779614325
12.79198823416976;13.485304999235387;12.698412699999999
12.79198823416976;3.3276855684628237;1.101928375
12.79198823416976;10.480668905847432;21.95121951
12.79198823416976;11.093243327484211;16.90140845
12.79198823416976;70.96433549976743;28.72340426
12.79198823416976;97.89257496542591;100.0
12.79198823416976;51.38744203986611;36.39240506
12.79198823416976;8.505392282229186;8.225616921
12.79198823416976;93.34645963958003;86.06557377
12.79198823416976;55.31742923290544;41.56626506
12.79198823416976;77.88809177142025;99.58158996
12.79198823416976;98.49527374093721;100.0
12.79198823416976;68.28983424667304;33.33333333
12.79198823416976;88.62622266584428;99.6099844
12.79198823416976;98.97571467624843;97.05882353
12.79198823416976;102.65223250422748;100.0
12.79198823416976;88.63727072512954;85.47008547
12.79198823416976;90.99250589023254;100.0
12.79198823416976;7.295816145830514;21.30584192
12.79198823416976;92.14339899335431;94.73684211
12.79198823416976;93.75680194767251;100.0
12.79198823416976;31.97781089751262;100.0
12.79198823416976;6.527148847131883;11.9047619
12.79198823416976;90.13819259985159;100.0
12.79198823416976;95.60907752484512;97.30046948
12.79198823416976;3.620811284225071;4.87804878
12.79198823416976;28.763183269469064;14.78599222
12.79198823416976;91.56609968778398;100.0
12.79198823416976;50.635215811347535;100.0
12.79198823416976;61.69605427319942;35.0177305
12.79198823416976;41.53285242933303;12.34177215
12.79198823416976;25.810269897311848;9.75177305
12.79198823416976;83.53968157082825;100.0
12.79198823416976;74.70370728662562;94.28571429
12.79198823416976;69.32035291905534;57.33695652
12.79198823416976;22.487615088480926;7.112068966
12.79198823416976;105.20596679045424;100.0
12.79198823416976;55.49039030981919;100.0
12.79198823416976;6.45938705027946;1.167315175
12.79198823416976;98.28658370070602;90.90909091
12.79198823416976;3.913138893548959;3.205128205
12.79198823416976;8.091927613822907;5.147058824
12.79198823416976;3.9219894538177003;1.50862069
12.79198823416976;102.2275071622329;100.0
12.79198823416976;103.02201905413642;97.88359788
