MAE;predicted;real
10.717425967439373;21.359655316356516;6.166666667
10.717425967439373;0.15183327316756143;1.5
10.717425967439373;26.00730457649071;9.779614325
10.717425967439373;23.464022369489026;17.31843575
10.717425967439373;9.299595292173683;14.43850267
10.717425967439373;9.521014929674704;21.95121951
10.717425967439373;74.86710736641601;100.0
10.717425967439373;92.99585994798808;100.0
10.717425967439373;84.10434451503565;100.0
10.717425967439373;95.73963789808761;100.0
10.717425967439373;15.872202738371769;18.18181818
10.717425967439373;19.911816057330444;21.76470588
10.717425967439373;74.77745926024836;100.0
10.717425967439373;87.92554104429914;94.15807559999999
10.717425967439373;13.621499287410543;19.34604905
10.717425967439373;94.88624161685611;100.0
10.717425967439373;83.32928370781964;83.94160584
10.717425967439373;94.60826202069033;99.6099844
10.717425967439373;99.62787671043628;100.0
10.717425967439373;0.775899776219041;0.0
10.717425967439373;1.1049629130397265;1.50862069
10.717425967439373;15.669637755175334;17.31669267
10.717425967439373;1.859874294931894;6.0606060610000005
10.717425967439373;37.03015629775447;38.13229572
10.717425967439373;71.74405441392166;98.77488515
10.717425967439373;107.25699944761514;94.84978541
10.717425967439373;1.5450347594188987;3.205128205
10.717425967439373;1.4959732004492532;3.305785124
10.717425967439373;40.16506789840548;37.58389262
10.717425967439373;5.700443071303288;11.9047619
10.717425967439373;69.9455016753025;100.0
10.717425967439373;1.077457663313616;5.109489051000001
10.717425967439373;94.55855813943359;98.99328859
10.717425967439373;2.0028583764038577;2.1352313169999997
10.717425967439373;64.19194567738587;25.83333333
10.717425967439373;79.59146317144038;79.55307263
10.717425967439373;4.803927806056031;21.30584192
10.717425967439373;93.54070508081257;100.0
10.717425967439373;4.9086174290303255;1.167315175
10.717425967439373;88.98183565844388;97.82016349
10.717425967439373;23.548983288458363;37.80068729
10.717425967439373;18.96015510087416;7.112068966
10.717425967439373;57.30284433185778;21.55477032
10.717425967439373;58.399280055779194;33.5078534
10.717425967439373;94.562445209977;100.0
10.717425967439373;11.048183233681328;17.77108434
10.717425967439373;80.58348943764467;94.24206816
10.717425967439373;-0.15231677694108572;3.03030303
10.717425967439373;15.698831154452284;20.98009188
10.717425967439373;49.23443064404551;100.0
10.717425967439373;103.16857265460386;99.6835443
10.717425967439373;64.51139891908723;100.0
