;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
RMSE;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366;16.161343709213366
RMSE;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855;10.523331873029855
RMSE;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652;16.617877110943652
RMSE;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305;13.974749536198305
RMSE;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917;21.853273491924917
RMSE;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925;21.465125278388925
RMSE;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789;14.119213290867789
RMSE;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105;20.41160215655105
RMSE;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078;15.054590006661078
