;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51
RMSE;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807;8.825109807
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
predicted;103.8235786;6.004381452;4.12396875;5.09388182;45.12478503;125.0768453;97.37931994;39.94840386;45.69856419;0;78.36079055;107.0995935;77.70488731;105.400793;4.15814099;52.99155558;110.1986865;104.1178258;8.111359385;0.933985925;97.64013642;44.47776206;0.962381094;74.58467825;31.32191796;100.7708665;2.547938811;15.66307401;114.5940847;7.373199517;106.7747606;108.8703259;43.21944701;3.368318737;2.011315395;2.851830145;-1.005260075;4.656103263;19.96968763;0.920142687;98.66932609;91.4300563;62.78367896;82.25477848;4.448807528;75.1743891;97.81636645;11.25094197;102.1794131;0;3.525045956;17.30414914
predicted;13.52992321;94.05270454;2.959491761;107.1829363;121.1023091;0.759570084;41.83179012;0.782801797;101.2469291;4.677091641;78.67717624;47.45375684;109.4937375;1.089998673;88.48618441;102.5448675;3.258674833;98.69146317;104.4963001;29.24599153;80.19411318;64.13259743;37.72777982;121.8002306;89.49550299;96.66626047;4.724613998;65.50810835;6.40664521;6.222784368;105.4771372;103.2057713;99.75607941;40.08008219;105.437682;98.81138907;25.99113564;4.333821052;107.4212056;54.18427986;77.26389665;101.773828;20.55150103;4.671438108;106.2012682;47.33572505;1.884777111;16.08511125;97.78510783;107.9799835;107.3176511;81.68073817
predicted;37.15607219;68.05080019;67.25785785;43.41819745;25.47658758;67.95601843;44.44437511;69.93425167;29.69806453;69.02368338;67.52798815;53.7255734;70.14054753;70.03097524;51.99492814;35.9498899;63.15389574;54.15143749;69.98939095;67.51933619;24.77156505;39.92862122;66.44131143;50.73641381;43.27980812;27.09697263;71.0941337;52.91687632;75.11565157;29.42304553;70.25937099;25.42951171;24.33279218;69.38436958;68.17328585;28.01326532;33.33683173;67.62955125;60.17714646;52.08782757;66.92463112;62.85143166;70.90292826;65.86698737;69.34064557;29.08835701;67.98842324;57.53661889;78.71896313;36.07276014;60.00662854;65.02638322
predicted;71.34963885;26.19358308;96.2764977;51.74834907;0.426127333;90.15442088;7.090160228;94.04207095;103.4257354;103.6754431;2.559822861;5.540149495;105.1963617;81.45003039;6.60591515;3.590842616;2.195456023;20.67803971;66.66435454;103.0505974;90.92201242;104.3202099;17.78599646;31.04699184;12.12998768;96.17884607;98.53627549;78.6319237;100.7278514;28.68282278;42.33437337;125.3656883;105.9652418;105.5027636;98.00336463;27.06007776;88.53130994;62.07692442;13.79139611;2.913301303;1.147875455;100.7396384;3.20907927;50.07626039;26.70022918;6.933519292;44.12507135;106.024618;83.23245145;56.94555131;17.61896126;56.79420687
predicted;86.71814627;54.42573739;26.48488843;71.08795029;37.83145425;59.56414662;39.45929895;76.57340071;74.11144531;34.05485281;63.84836925;87.21158064;88.25590551;89.45116329;25.38980385;86.72246318;102.6307362;89.99421806;62.40870578;90.03348199;81.72994045;73.03353188;55.35124198;86.30299031;89.31215844;69.15015757;84.5784486;67.09893059;25.65602492;84.52769363;97.98945033;88.2310848;25.89401776;90.50904485;24.58502254;80.30604458;89.55866411;63.59846136;82.17722088;40.43903955;25.30023146;66.05747362;23.91663178;83.98684079;98.52413588;69.89644567;31.74798167;83.83448902;25.11454138;76.14798333;65.31635835;91.89943194
predicted;33.36791918;55.58491935;107.742309;0.317881709;99.44859087;100.016951;0.357100038;10.65746082;91.1089935;97.14355291;104.3670185;99.49289996;112.6214988;0.35102505;106.7864391;49.59170327;107.2805347;0.344187579;108.5513482;89.38942926;89.48361086;0.195100061;110.109309;93.19510331;104.3974886;102.9537232;101.7082516;100.8425935;12.75508344;100.3194193;36.86201835;89.23194468;2.551998755;96.36721518;-0.162051225;29.93990181;1.437628933;25.18932318;4.800881262;8.54865893;18.68780874;22.97074741;86.84620253;100.1508018;-0.159999579;7.446562501;113.7723212;80.42913943;30.25702218;93.96968449;107.0463974;98.34273038
predicted;122.6673295;80.18874587;10.5095804;98.26204995;102.3363341;94.37126868;98.25176578;26.80071061;96.81472847;69.1981352;86.55713204;3.170992349;87.15058172;47.00185009;25.37350062;16.16402595;52.94261115;106.6387325;90.75479508;3.130407395;3.477323713;102.0966322;96.5716064;74.24235972;4.558263931;5.546081889;6.599935623;125.1886234;7.210559718;89.87966348;105.4872734;3.293438846;23.11867812;10.42484428;106.1714594;98.74264221;102.6583895;2.631262526;100.7044768;47.30630903;106.6540876;92.85754466;92.08708265;28.6173646;52.09808231;61.94885688;104.594425;96.80789456;52.11564993;15.14446111;16.28345927;106.8351243
predicted;81.39949279;5.943915902;20.96124758;11.86080157;92.22421893;7.872192752;117.9299381;135.823394;108.2504655;352.2523794;92.15372234;36.92416487;-525.6253313;98.824091;95.51873819;84.62543622;114.7251674;9.833874512;75.66070366;3.98917838;105.7554315;5.944076288;42.59792318;100.81353;98.73676344;35.45346979;119.6280338;7.899703799;103.511245;11.79647782;38.95966138;5.958846248;2.013077676;2.013392814;87.37384784;97.26199781;19.49344282;100.2650653;5.95334838;111.4653966;19.16139507;23.04400666;3.984341066;38.66071971;5.933638592;5.936026612;76.5762823;3.988921709;30.0572433;76.33405782;9.833050713;87.66799414
predicted;4.953095685;107.1281071;52.29473684;96.33774834;89.85232235;62.07684373;93.48710991;99.0861244;95.38354978;8.026182432;-0.995884774;7.842892768;4.804063861;100.4864865;84.07987711;10.31479643;101.7604049;101.9822941;107.9661017;81.9874435;108.8790698;7.56097561;87.1076524;0.980797637;8.962848297;85.8517092;12.70909091;103.1641086;76.58521686;97.55813024;94.08020924;34.1790734;22.05102881;19.31355932;3.820089955;48.624052;0.981099656;5.797590361;98.8740458;7.796973518;95.04472272;43.87661245;0;90.15407098;4.649350649;99.80472103;99.88511137;95.58666667;94.33675214;44.52391028;122.7434337;105.2414302
predicted;68.76396783;6.467845814;26.64142438;54.78750967;94.27897514;80.30886602;110.8508981;36.39817756;21.78696084;4.79559158;1.302365426;77.58633515;31.18944503;7.030700229;45.40437755;5.304138523;77.00868476;83.5657373;82.75081706;95.64665248;25.70496164;10.94034797;19.39007532;96.93590786;62.09903445;94.45035734;111.6421398;92.87732348;49.59996501;6.482200076;12.09617929;86.13024232;100.1266748;48.42427156;88.37992157;19.16001529;98.88983041;114.5106718;98.7386553;18.42069609;89.43206264;18.55727327;0.134213795;27.8062976;107.4642698;94.40503486;84.56115508;99.43264394;2.954904204;80.09251786;79.84333721;4.794474293
0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
real;95.75892857;7.936507937;21.30584192;11.8852459;100;100;99.64664311;27.96709753;25.83333333;0;100;100;100;98.04964539;16.90140845;57.33695652;95.01779359;98.46416382;2.4;2.135231317;85.47008547;35.86956522;1.50862069;28.72340426;32.59385666;86.06557377;5.147058824;17.31669267;96.82539683;12.6984127;98.05825243;96;21.55477032;21.95121951;3.03030303;1.486988848;2.997275204;6.310679612;15.65836299;4.240282686;98.77488515;100;40.24960998;95.29411765;1.167315175;100;100;6.166666667;100;3.205128205;5.294117647;37.80068729
real;37.80068729;99.6099844;1.486988848;94.57831325;94.79553903;3.205128205;36.39240506;2.919708029;100;11.9047619;100;41.43192488;93.71727749;4.87804878;94.28571429;100;21.30584192;100;98.05825243;32.59385666;100;100;24.33862434;100;88.01652893;100;2.4;57.33695652;8.225616921;5.915178571;97.30046948;100;94.73684211;100;99.6835443;99.51219512;17.70428016;5.147058824;90.90909091;35.0177305;100;94.24206816;9.75177305;2.564102564;100;21.55477032;1.50862069;17.31843575;100;97.05882353;100;100
real;21.76470588;100;99.58158996;7.112068966;0;94.84978541;17.70428016;90.90909091;17.77108434;95.01779359;86.68478261;100;100;94.73684211;27.96709753;8.724832215;98.77488515;100;94.57831325;97.82016349;4.240282686;6.166666667;91.4893617;28.125;14.78599222;2.135231317;97.30046948;32.35294118;94.79553903;1.167315175;100;1.315789474;2.919708029;94.1580756;100;5.147058824;14.43850267;99.51219512;100;33.18435754;100;94.28571429;93.71727749;100;85.47008547;11.9047619;99.6099844;36.39240506;100;12.82051282;100;100
