nodes;test;training
13;91.72366621067032;92.81524926686217
15;92.33926128590971;93.28445747800586
9;89.53488372093024;88.18181818181819
17;93.09165526675787;93.16715542521993
13;93.36525307797537;93.60703812316716
13;93.16005471956224;93.31378299120234
13;93.16005471956224;93.31378299120234
13;93.16005471956224;93.31378299120234
17;92.88645690834474;93.51906158357771
13;92.61285909712723;92.99120234604106
18;91.99726402188783;92.49266862170089
21;93.02325581395348;92.78592375366568
23;95.48563611491107;95.83577712609971
23;95.48563611491107;95.83577712609971
23;95.48563611491107;95.83577712609971
23;95.48563611491107;95.83577712609971
23;95.48563611491107;95.83577712609971
23;93.296853625171;93.2258064516129
29;95.34883720930233;95.80645161290322
29;95.34883720930233;95.80645161290322
27;93.98084815321477;94.01759530791789
27;93.70725034199727;93.66568914956012
27;93.77564979480164;93.4017595307918
27;93.77564979480164;93.4017595307918
27;93.77564979480164;93.4017595307918
27;93.77564979480164;93.4017595307918
33;94.87004103967168;95.13196480938416
22;95.48563611491107;95.30791788856305
22;95.48563611491107;95.30791788856305
22;95.48563611491107;95.30791788856305
28;96.30642954856361;95.77712609970675
28;96.30642954856361;95.77712609970675
24;95.82763337893296;95.77712609970675
24;95.82763337893296;95.77712609970675
29;97.8796169630643;97.94721407624634
26;95.96443228454173;95.98240469208211
26;95.96443228454173;95.98240469208211
26;95.96443228454173;95.98240469208211
26;95.96443228454173;95.98240469208211
26;95.96443228454173;95.98240469208211
26;95.96443228454173;95.98240469208211
26;95.96443228454173;95.98240469208211
26;95.96443228454173;95.98240469208211
26;95.96443228454173;95.98240469208211
26;96.10123119015049;96.07038123167155
26;96.10123119015049;96.07038123167155
26;96.10123119015049;96.07038123167155
29;95.69083447332422;95.63049853372434
29;95.69083447332422;95.63049853372434
29;95.69083447332422;95.63049853372434
31;95.69083447332422;95.07331378299119
32;96.99042407660738;96.65689149560117
32;96.99042407660738;96.65689149560117
32;96.99042407660738;96.65689149560117
32;96.99042407660738;96.65689149560117
32;96.99042407660738;96.65689149560117
32;96.99042407660738;96.5982404692082
32;96.99042407660738;96.5982404692082
32;96.78522571819425;96.51026392961877
32;96.78522571819425;96.51026392961877
32;96.78522571819425;96.51026392961877
32;96.78522571819425;96.51026392961877
32;96.78522571819425;96.51026392961877
32;96.78522571819425;96.51026392961877
32;96.78522571819425;96.51026392961877
33;96.71682626538988;96.65689149560117
33;96.71682626538988;96.65689149560117
33;96.71682626538988;96.65689149560117
33;96.71682626538988;96.65689149560117
33;96.71682626538988;96.68621700879766
33;96.71682626538988;96.68621700879766
33;96.71682626538988;96.68621700879766
33;96.71682626538988;96.68621700879766
33;96.71682626538988;96.68621700879766
33;96.71682626538988;96.68621700879766
33;96.71682626538988;96.68621700879766
66;96.92202462380301;96.83284457478007
73;96.71682626538988;96.42228739002933
73;96.71682626538988;96.42228739002933
73;96.71682626538988;96.42228739002933
69;97.12722298221614;96.83284457478007
69;97.12722298221614;96.83284457478007
57;96.44322845417237;96.07038123167155
93;96.51162790697676;96.39296187683284
95;96.6484268125855;96.09970674486803
61;96.92202462380301;96.83284457478007
102;98.1532147742818;97.74193548387096
102;98.1532147742818;97.74193548387096
118;98.49521203830369;98.09384164222874
81;98.49521203830369;98.12316715542522
81;98.49521203830369;98.12316715542522
141;98.22161422708618;98.44574780058652
124;98.35841313269493;98.82697947214076
124;98.35841313269493;98.82697947214076
204;98.35841313269493;98.85630498533725
204;98.35841313269493;98.85630498533725
200;98.35841313269493;98.85630498533725
222;98.35841313269493;98.85630498533725
222;98.35841313269493;98.85630498533725
199;98.49521203830369;98.88563049853373
